Generated by grib_table_html2txt.py on 2024-12-22
Source: https://www.nco.ncep.noaa.gov/pmb/docs/grib2/grib2_doc/grib2_table4-2-1-1.shtml


0	:	Conditional percent precipitation amount fractile for anoverall period (encoded as an accumulation)	:	kg m^-2	:	CPPOP
1	:	Percent Precipitation in asub-period of an overall period (encoded as a percent accumulation overthe sub-period)	:	%	:	PPOSP
2	:	Probability of 0.01 inch ofprecipitation (POP)	:	%	:	POP
3	:	Reserved	:		:	
4	:	Reserved	:		:	
5	:	Reserved	:		:	
6	:	Reserved	:		:	
7	:	Reserved	:		:	
8	:	Reserved	:		:	
9	:	Reserved	:		:	
10	:	Reserved	:		:	
11	:	Reserved	:		:	
12	:	Reserved	:		:	
13	:	Reserved	:		:	
14	:	Reserved	:		:	
15	:	Reserved	:		:	
16	:	Reserved	:		:	
17	:	Reserved	:		:	
18	:	Reserved	:		:	
19	:	Reserved	:		:	
20	:	Reserved	:		:	
21	:	Reserved	:		:	
22	:	Reserved	:		:	
23	:	Reserved	:		:	
24	:	Reserved	:		:	
25	:	Reserved	:		:	
26	:	Reserved	:		:	
27	:	Reserved	:		:	
28	:	Reserved	:		:	
29	:	Reserved	:		:	
30	:	Reserved	:		:	
31	:	Reserved	:		:	
32	:	Reserved	:		:	
33	:	Reserved	:		:	
34	:	Reserved	:		:	
35	:	Reserved	:		:	
36	:	Reserved	:		:	
37	:	Reserved	:		:	
38	:	Reserved	:		:	
39	:	Reserved	:		:	
40	:	Reserved	:		:	
41	:	Reserved	:		:	
42	:	Reserved	:		:	
43	:	Reserved	:		:	
44	:	Reserved	:		:	
45	:	Reserved	:		:	
46	:	Reserved	:		:	
47	:	Reserved	:		:	
48	:	Reserved	:		:	
49	:	Reserved	:		:	
50	:	Reserved	:		:	
51	:	Reserved	:		:	
52	:	Reserved	:		:	
53	:	Reserved	:		:	
54	:	Reserved	:		:	
55	:	Reserved	:		:	
56	:	Reserved	:		:	
57	:	Reserved	:		:	
58	:	Reserved	:		:	
59	:	Reserved	:		:	
60	:	Reserved	:		:	
61	:	Reserved	:		:	
62	:	Reserved	:		:	
63	:	Reserved	:		:	
64	:	Reserved	:		:	
65	:	Reserved	:		:	
66	:	Reserved	:		:	
67	:	Reserved	:		:	
68	:	Reserved	:		:	
69	:	Reserved	:		:	
70	:	Reserved	:		:	
71	:	Reserved	:		:	
72	:	Reserved	:		:	
73	:	Reserved	:		:	
74	:	Reserved	:		:	
75	:	Reserved	:		:	
76	:	Reserved	:		:	
77	:	Reserved	:		:	
78	:	Reserved	:		:	
79	:	Reserved	:		:	
80	:	Reserved	:		:	
81	:	Reserved	:		:	
82	:	Reserved	:		:	
83	:	Reserved	:		:	
84	:	Reserved	:		:	
85	:	Reserved	:		:	
86	:	Reserved	:		:	
87	:	Reserved	:		:	
88	:	Reserved	:		:	
89	:	Reserved	:		:	
90	:	Reserved	:		:	
91	:	Reserved	:		:	
92	:	Reserved	:		:	
93	:	Reserved	:		:	
94	:	Reserved	:		:	
95	:	Reserved	:		:	
96	:	Reserved	:		:	
97	:	Reserved	:		:	
98	:	Reserved	:		:	
99	:	Reserved	:		:	
100	:	Reserved	:		:	
101	:	Reserved	:		:	
102	:	Reserved	:		:	
103	:	Reserved	:		:	
104	:	Reserved	:		:	
105	:	Reserved	:		:	
106	:	Reserved	:		:	
107	:	Reserved	:		:	
108	:	Reserved	:		:	
109	:	Reserved	:		:	
110	:	Reserved	:		:	
111	:	Reserved	:		:	
112	:	Reserved	:		:	
113	:	Reserved	:		:	
114	:	Reserved	:		:	
115	:	Reserved	:		:	
116	:	Reserved	:		:	
117	:	Reserved	:		:	
118	:	Reserved	:		:	
119	:	Reserved	:		:	
120	:	Reserved	:		:	
121	:	Reserved	:		:	
122	:	Reserved	:		:	
123	:	Reserved	:		:	
124	:	Reserved	:		:	
125	:	Reserved	:		:	
126	:	Reserved	:		:	
127	:	Reserved	:		:	
128	:	Reserved	:		:	
129	:	Reserved	:		:	
130	:	Reserved	:		:	
131	:	Reserved	:		:	
132	:	Reserved	:		:	
133	:	Reserved	:		:	
134	:	Reserved	:		:	
135	:	Reserved	:		:	
136	:	Reserved	:		:	
137	:	Reserved	:		:	
138	:	Reserved	:		:	
139	:	Reserved	:		:	
140	:	Reserved	:		:	
141	:	Reserved	:		:	
142	:	Reserved	:		:	
143	:	Reserved	:		:	
144	:	Reserved	:		:	
145	:	Reserved	:		:	
146	:	Reserved	:		:	
147	:	Reserved	:		:	
148	:	Reserved	:		:	
149	:	Reserved	:		:	
150	:	Reserved	:		:	
151	:	Reserved	:		:	
152	:	Reserved	:		:	
153	:	Reserved	:		:	
154	:	Reserved	:		:	
155	:	Reserved	:		:	
156	:	Reserved	:		:	
157	:	Reserved	:		:	
158	:	Reserved	:		:	
159	:	Reserved	:		:	
160	:	Reserved	:		:	
161	:	Reserved	:		:	
162	:	Reserved	:		:	
163	:	Reserved	:		:	
164	:	Reserved	:		:	
165	:	Reserved	:		:	
166	:	Reserved	:		:	
167	:	Reserved	:		:	
168	:	Reserved	:		:	
169	:	Reserved	:		:	
170	:	Reserved	:		:	
171	:	Reserved	:		:	
172	:	Reserved	:		:	
173	:	Reserved	:		:	
174	:	Reserved	:		:	
175	:	Reserved	:		:	
176	:	Reserved	:		:	
177	:	Reserved	:		:	
178	:	Reserved	:		:	
179	:	Reserved	:		:	
180	:	Reserved	:		:	
181	:	Reserved	:		:	
182	:	Reserved	:		:	
183	:	Reserved	:		:	
184	:	Reserved	:		:	
185	:	Reserved	:		:	
186	:	Reserved	:		:	
187	:	Reserved	:		:	
188	:	Reserved	:		:	
189	:	Reserved	:		:	
190	:	Reserved	:		:	
191	:	Reserved	:		:	
192-254	:	Reservedfor Local Use	:		:	
192	:	Probability of FreezingPrecipitation	:	%	:	CPOZP
193	:	Percent of FrozenPrecipitation	:	%	:	CPOFP
194	:	Probability of precipitation exceeding flash flood guidance values	:	%	:	PPFFG
195	:	Probability of Wetting Rain, exceeding in 0.10" in a given time period	:	%	:	CWR
196	:	Binary Probability of precipitation exceeding average recurrence intervals (ARI)	:		:	QPFARI
197	:	Binary Probability of precipitation exceeding flash flood guidance values	:		:	QPFFFG
255	:	Missing	:		:	
